Time(s),Current(A)
0.0,0.0
0.0005,884.7933342675458
0.001,1747.8001201847026
0.0015,2567.7702665268766
0.002,3324.513386966228
0.0025,3999.3959543911133
0.003,4575.800120184703
0.0035,5039.532900809409
0.004,5379.175656165388
0.0045000000000000005,5586.3652544061
0.005,5656.0
0.0055,5586.3652544061
0.006,5379.175656165388
0.006500000000000001,5039.532900809408
0.007,4575.800120184703
0.0075,3999.3959543911133
0.008,3324.5133869662286
0.0085,2567.770266526875
0.009000000000000001,1747.800120184701
0.0095,884.7933342675465
0.01,6.92660229597743e-13
0.0105,-884.7933342675475
0.011,-1747.8001201847019
0.0115,-2567.7702665268757
0.012,-3324.5133869662295
0.0125,-3999.3959543911137
0.013000000000000001,-4575.8001201847055
0.0135,-5039.532900809409
0.014,-5379.175656165388
0.0145,-5586.365254406099
0.015,-5656.0
