Time(s),Velocity(m/s),Position(m)
0.0,-1.2,0.0
0.0005,-1.1749999999999998,-0.00059375
0.001,-1.15,-0.0011749999999999998
0.0015,-1.075,-0.0017312499999999997
0.002,-1.0,-0.00225
0.0025,-0.95,-0.0027375
0.003,-0.9,-0.0031999999999999997
0.0035,-0.8625,-0.0036406249999999998
0.004,-0.825,-0.0040625
0.0045000000000000005,-0.7875,-0.004465625
0.005,-0.75,-0.00485
0.0055,-0.7333333333333334,-0.005220833333333333
0.006,-0.7166666666666667,-0.005583333333333333
0.006500000000000001,-0.7,-0.0059375
0.007,-0.6833333333333333,-0.0062833333333333335
0.0075,-0.6666666666666667,-0.006620833333333334
0.008,-0.65,-0.0069500000000000004
0.0085,-0.6375,-0.0072718750000000006
0.009000000000000001,-0.625,-0.0075875000000000005
0.0095,-0.6125,-0.007896875000000001
0.01,-0.6,-0.0082
0.0105,-0.6,-0.0085
0.011,-0.6,-0.0088
0.0115,-0.6,-0.0091
0.012,-0.6,-0.0094
0.0125,-0.6,-0.0097
0.013000000000000001,-0.6,-0.01
0.0135,-0.6,-0.0103
0.014,-0.6,-0.0106
0.0145,-0.6,-0.0109
0.015,-0.6,-0.0112
